transition_label,transition_name,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,interest_matching_base,interest_matching_final,interest_matching_gain,tu_utilization_base,tu_utilization_final,tu_utilization_gain,city_visit_efficiency_base,city_visit_efficiency_final,city_visit_efficiency_gain,geographic_coverage_base,geographic_coverage_final,geographic_coverage_gain,long_travel_penalty_base,long_travel_penalty_final,long_travel_penalty_gain,travel_streak_smoothness_base,travel_streak_smoothness_final,travel_streak_smoothness_gain,stay_streak_smoothness_base,stay_streak_smoothness_final,stay_streak_smoothness_gain,runtime_seconds,violations
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,6,balanced,0.25,0.25,0.25,0.25,72.4641301,79.1307968,6.6666667,0.6666667,0.8571429,0.1904762,0.962963,0.962963,0.0,0.6666667,0.6666667,0.0,0.8223313,0.8223313,0.0,0.2351383,0.2351383,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.20373,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,6,nature_food,0.4,0.2,0.3,0.3,67.5458522,79.3583522,11.8125,0.54375,0.88125,0.3375,0.962963,0.962963,0.0,0.8333333,0.8333333,0.0,0.7854005,0.7854005,0.0,0.0039811,0.0039811,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.208128,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,6,culture_food,0.1,0.4,0.3,0.2,74.3727656,80.0026106,5.629845,0.7325581,0.8934109,0.1608527,0.962963,0.962963,0.0,0.6666667,0.6666667,0.0,0.8223313,0.8223313,0.0,0.1953817,0.1953817,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.197514,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,10,balanced,0.25,0.25,0.25,0.25,76.314858,85.289217,8.974359,0.6666667,0.9230769,0.2564103,0.9555556,0.9555556,0.0,0.6666667,0.6666667,0.0,0.7024482,0.7024482,0.0,0.8111468,0.8111468,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.550582,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,10,nature_food,0.4,0.2,0.3,0.3,76.5310676,85.394704,8.8636364,0.6688312,0.9220779,0.2532468,0.9666667,0.9666667,0.0,0.6666667,0.6666667,0.0,0.763887,0.763887,0.0,0.7163671,0.7163671,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.790949,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,10,culture_food,0.1,0.4,0.3,0.2,70.4625366,78.645407,8.1828704,0.7112269,0.9450231,0.2337963,0.9333333,0.9333333,0.0,0.6666667,0.6666667,0.0,0.805869,0.805869,0.0,0.001,0.001,0.0,0.949868,0.949868,0.0,0.9444444,0.9444444,0.0,0.593287,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,summer,6,balanced,0.25,0.25,0.25,0.25,67.1115644,67.1115644,0.0,0.4255319,0.4255319,0.0,1.0,1.0,0.0,0.6666667,0.6666667,0.0,0.4979072,0.4979072,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.103304,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,summer,6,nature_food,0.4,0.2,0.3,0.3,66.9253942,66.9253942,0.0,0.4202128,0.4202128,0.0,1.0,1.0,0.0,0.6666667,0.6666667,0.0,0.4979072,0.4979072,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.08954,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,summer,6,culture_food,0.1,0.4,0.3,0.2,61.5176463,61.5176463,0.0,0.25,0.25,0.0,0.9814815,0.9814815,0.0,0.6666667,0.6666667,0.0,0.5530723,0.5530723,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.107073,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,summer,10,balanced,0.25,0.25,0.25,0.25,70.5815673,70.5815673,0.0,0.6756757,0.6756757,0.0,0.9555556,0.9555556,0.0,0.6666667,0.6666667,0.0,0.8522857,0.8522857,0.0,0.0065959,0.0065959,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.40175,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,summer,10,nature_food,0.4,0.2,0.3,0.3,71.9909695,71.9909695,0.0,0.5432099,0.5432099,0.0,1.0,1.0,0.0,0.6666667,0.6666667,0.0,0.5486189,0.5486189,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.488901,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",9,summer,10,culture_food,0.1,0.4,0.3,0.2,71.6419856,71.6419856,0.0,0.6070602,0.6070602,0.0,0.9333333,0.9333333,0.0,0.6666667,0.6666667,0.0,0.7766951,0.7766951,0.0,0.4995113,0.4995113,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.619066,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",9,summer,6,balanced,0.25,0.25,0.25,0.25,78.0551203,90.0422998,11.9871795,0.5952381,0.9615385,0.3663004,0.962963,0.9074074,-0.0555556,0.8333333,0.8333333,0.0,0.7018668,0.7018668,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.452592,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",9,summer,6,nature_food,0.4,0.2,0.3,0.3,69.0725151,74.7600151,5.6875,0.38125,0.54375,0.1625,0.9259259,0.9259259,0.0,0.8333333,0.8333333,0.0,0.6393691,0.6393691,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.378999,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",9,summer,6,culture_food,0.1,0.4,0.3,0.2,74.3419067,76.7724622,2.4305556,0.5248016,0.594246,0.0694444,0.962963,0.962963,0.0,0.8333333,0.8333333,0.0,0.6186711,0.6186711,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.271597,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",9,summer,10,balanced,0.25,0.25,0.25,0.25,81.0580443,90.2685706,9.2105263,0.6842105,0.9473684,0.2631579,0.9555556,0.9555556,0.0,0.8333333,0.8333333,0.0,0.7018668,0.7018668,0.0,1.0,1.0,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,1.063424,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",9,summer,10,nature_food,0.4,0.2,0.3,0.3,78.8284435,82.0102617,3.1818182,0.75,0.8409091,0.0909091,0.9555556,0.9555556,0.0,0.6666667,0.6666667,0.0,0.6275717,0.6275717,0.0,0.8831535,0.8831535,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.568917,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",9,summer,10,culture_food,0.1,0.4,0.3,0.2,76.4622781,83.0247781,6.5625,0.6507675,0.8382675,0.1875,0.9666667,0.9666667,0.0,0.8333333,0.8333333,0.0,0.5932694,0.5932694,0.0,0.8037034,0.8037034,0.0,0.949868,0.949868,0.0,1.0,1.0,0.0,0.437923,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,6,balanced,0.25,0.25,0.25,0.25,80.9072514,82.6215195,1.7142682,0.8488372,0.7692308,-0.0796064,0.9814815,0.9444444,-0.037037,0.6666667,0.8333333,0.1666667,0.8223313,0.766329,-0.0560023,0.4140758,0.7787502,0.3646744,1.0,0.949868,-0.050132,1.0,1.0,0.0,0.125131,-
