removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,runtime_seconds,violations
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,0.29803,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,88.3125915,3.6926606,0.999231,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,82.5438751,0.9109051,0.346905,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,0.11718,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,0.428033,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,85.3011366,1.9305218,1.54958,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,0.403524,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,86.5394008,8.120915,1.554587,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,83.8783954,4.9195416,0.668305,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,0.137918,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,81.4354123,9.5632239,1.152478,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,77.1785373,6.703987,0.102807,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.064309,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.3631593,11.6666667,0.128067,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,75.9707403,8.5933533,0.181595,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.037673,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,62.8631593,4.537037,0.082698,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,84.160876,7.7038686,0.629582,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.23554,-
4,convert_travel_day_to_stay,1|2|3,"swap_city_blocks,substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,85.4770807,9.7385847,0.547456,-
