algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,88.7105297,0.8530702,0.9583333,1.0,0.688051,0.9909289,0.8496039,1.0,0.015923,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,88.7105297,0.8530702,0.9583333,1.0,0.688051,0.9909289,0.8496039,1.0,0.032156,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,culture_food,0.1,0.4,0.3,0.2,76.1988415,0.4801587,1.0,1.0,0.6763511,1.0,0.8496039,1.0,0.001243,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,culture_food,0.1,0.4,0.3,0.2,81.1988415,0.6230159,1.0,1.0,0.6763511,1.0,0.8496039,1.0,0.05985,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,culture_food,0.1,0.4,0.3,0.2,81.1988415,0.6230159,1.0,1.0,0.6763511,1.0,0.8496039,1.0,0.065694,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,74.8099526,0.4583333,0.9583333,1.0,0.6763511,1.0,0.8496039,1.0,0.001169,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,74.8099526,0.4583333,0.9583333,1.0,0.6763511,1.0,0.8496039,1.0,0.01765,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,74.8099526,0.4583333,0.9583333,1.0,0.6763511,1.0,0.8496039,1.0,0.029028,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,76.8669625,0.6111111,0.7333333,1.0,0.688051,0.9909289,0.8496039,1.0,0.001464,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,76.8669625,0.6111111,0.7333333,1.0,0.688051,0.9909289,0.8496039,1.0,0.024629,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,76.8669625,0.6111111,0.7333333,1.0,0.688051,0.9909289,0.8496039,1.0,0.042131,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,73.9174675,0.469697,0.8666667,1.0,0.688051,0.9909289,0.8496039,1.0,0.001571,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,73.9174675,0.469697,0.8666667,1.0,0.688051,0.9909289,0.8496039,1.0,0.032053,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,73.9174675,0.469697,0.8666667,1.0,0.688051,0.9909289,0.8496039,1.0,0.046991,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,77.0599526,0.5333333,0.9333333,1.0,0.6763511,1.0,0.8496039,1.0,0.001749,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,77.0599526,0.5333333,0.9333333,1.0,0.6763511,1.0,0.8496039,1.0,0.031931,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,77.0599526,0.5333333,0.9333333,1.0,0.6763511,1.0,0.8496039,1.0,0.052331,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,79.5252304,0.6180556,0.9,1.0,0.6763511,1.0,0.8496039,1.0,0.001588,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,79.5252304,0.6180556,0.9,1.0,0.6763511,1.0,0.8496039,1.0,0.027592,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,79.5252304,0.6180556,0.9,1.0,0.6763511,1.0,0.8496039,1.0,0.048309,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,86.5882923,0.7857143,1.0,1.0,0.6560182,1.0,0.8496039,1.0,0.001,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,86.5882923,0.7857143,1.0,1.0,0.6560182,1.0,0.8496039,1.0,0.015523,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,86.5882923,0.7857143,1.0,1.0,0.6560182,1.0,0.8496039,1.0,0.046123,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,78.6716257,0.5595238,1.0,1.0,0.6560182,1.0,0.8496039,1.0,0.002622,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,79.9216257,0.5952381,1.0,1.0,0.6560182,1.0,0.8496039,1.0,0.022071,-
