algorithm_id,algorithm,field,value,n,total_score_mean,interest_matching_mean,tu_utilization_mean,city_visit_efficiency_mean,geographic_coverage_mean,long_travel_penalty_mean,travel_streak_smoothness_mean,stay_streak_smoothness_mean,total_score_median,interest_matching_median,tu_utilization_median,city_visit_efficiency_median,geographic_coverage_median,long_travel_penalty_median,travel_streak_smoothness_median,stay_streak_smoothness_median
1,route_planner_greedy:RoutePlanner,pref_label,balanced,64,69.0466125453125,0.538066,0.9587165265625,0.6911725515625,0.7136414265625,0.4895302828125,0.9784539984375,0.9947544578124999,69.6747815,0.5417027000000001,0.96015875,0.6923077,0.7068502,0.44776744999999996,1.0,1.0
1,route_planner_greedy:RoutePlanner,pref_label,culture_food,64,68.57831523125,0.531924215625,0.9525425765625,0.677884621875,0.761389603125,0.4271729921875,0.9717349875,0.990662196875,69.26130325,0.5618093,0.9555556,0.6794872,0.7491601,0.32073845,1.0,1.0
1,route_planner_greedy:RoutePlanner,pref_label,nature_sport,64,70.8999184265625,0.590580553125,0.9688165609375,0.6780849421874999,0.7381651796875,0.4647383609375,0.971176171875,0.9900669609375,72.00824765,0.5857843,0.975,0.6666667,0.7358969,0.40639519999999996,1.0,1.0
2,route_planner_greedy_local:RoutePlanner,pref_label,balanced,64,74.8721744953125,0.6895405421875,0.95309276875,0.7328392140625,0.7137117078125,0.5057244625,0.9425166859375,0.9947544578124999,75.00015725,0.7017865000000001,0.9583333,0.7692308,0.7020455,0.44776744999999996,0.9785148,1.0
2,route_planner_greedy_local:RoutePlanner,pref_label,culture_food,64,74.8953633578125,0.70163146875,0.942857140625,0.70913461875,0.76049631875,0.4473719875,0.944782003125,0.990662196875,74.9668921,0.6561143,0.9444444,0.6923077,0.7491601,0.33353014999999997,0.9785148,1.0
2,route_planner_greedy_local:RoutePlanner,pref_label,nature_sport,64,73.642538415625,0.6600913984375,0.9656452625,0.70412660625,0.736858965625,0.47459659375,0.9487153515625,0.9900669609375,73.28431075,0.6222117,0.975,0.6923077,0.7358969,0.40639519999999996,0.9892574000000001,1.0
3,route_planner:RoutePlanner,pref_label,balanced,64,77.1717974,0.7183894859375,0.95358879375,0.765691778125,0.71306213125,0.60332954375,0.90730305625,0.99464285,76.97924764999999,0.7361111,0.9583333,0.7735042999999999,0.70187485,0.7463113,0.949868,1.0
3,route_planner:RoutePlanner,pref_label,culture_food,64,76.84555410625,0.721882846875,0.946549271875,0.7362446578125,0.7608519671875,0.5419283015625,0.9100528015625,0.9910838234375,76.6953059,0.7072350000000001,0.94833335,0.7692308,0.742224,0.6552626500000001,0.949868,1.0
3,route_planner:RoutePlanner,pref_label,nature_sport,64,76.3629840625,0.7059949203125,0.9620411765625,0.7426549171875,0.729401484375,0.5666817625,0.904785196875,0.9901909671875,76.66466270000001,0.6567577,0.9666667,0.73076925,0.71729535,0.7276129,0.949868,1.0
1,route_planner_greedy:RoutePlanner,start_city,"Geneva, Switzerland",48,72.54779487500001,0.5192660208333334,0.965776575,0.7662927416666667,0.6773175666666668,0.8463627541666666,0.96579811875,0.9880125666666667,73.62291605,0.54136045,0.9666667,0.7777778,0.68966435,1.0,1.0,1.0
1,route_planner_greedy:RoutePlanner,start_city,"Interlaken, Switzerland",48,69.22924097708334,0.55786100625,0.9516181666666667,0.7776887541666667,0.76356403125,0.24763916458333335,0.9750318979166667,0.9918981416666667,69.460852,0.57597735,0.9583333,0.7777778,0.73940975,0.0189087,0.9785148,1.0
1,route_planner_greedy:RoutePlanner,start_city,"St. Moritz, Switzerland",48,67.4519573375,0.6164054208333333,0.9515118020833334,0.5703347625,0.82919045,0.072697075,0.9832818645833333,0.9937665291666667,68.644289,0.6210543,0.9624339,0.6666667,0.8556892,0.0164619,1.0,1.0
1,route_planner_greedy:RoutePlanner,start_city,"Zurich, Switzerland",48,68.80413508125001,0.5205619104166667,0.9711943416666666,0.6152065624999999,0.6808562312499999,0.6752231875,0.9710416625000001,0.9936342499999999,68.8256033,0.54031385,0.971627,0.6666667,0.6826887500000001,0.7463113,1.0,1.0
2,route_planner_greedy_local:RoutePlanner,start_city,"Geneva, Switzerland",48,82.58690343958334,0.7824567291666668,0.9497767895833333,0.8287927354166666,0.6809949249999999,0.8807927604166667,0.91189215,0.9880125666666667,84.78868935,0.8377525,0.95694445,0.8333333,0.692732,1.0,0.9598944,1.0
2,route_planner_greedy_local:RoutePlanner,start_city,"Interlaken, Switzerland",48,79.03710583333334,0.81559381875,0.9429772958333333,0.8471331916666666,0.7570477166666666,0.27487770208333334,0.9151363770833334,0.9918981416666667,78.88134185000001,0.8472872499999999,0.9511905,0.8333333,0.73940975,0.025428899999999997,0.9699208,1.0
2,route_planner_greedy_local:RoutePlanner,start_city,"St. Moritz, Switzerland",48,67.4519573375,0.6164054208333333,0.9515118020833334,0.5703347625,0.82919045,0.072697075,0.9832818645833333,0.9937665291666667,68.644289,0.6210543,0.9624339,0.6666667,0.8556892,0.0164619,1.0,1.0
