algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,86.6088885,0.8421717,0.975,1.0,0.5963581,1.0,0.7125015,1.0,0.212381,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,70.4954378,0.3590686,1.0,1.0,0.6243686,1.0,0.7125015,1.0,0.028976,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,79.9317123,0.6286765,1.0,1.0,0.6243686,1.0,0.7125015,1.0,0.144723,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,79.9317123,0.6286765,1.0,1.0,0.6243686,1.0,0.7125015,1.0,0.867376,-
1,route_planner_greedy:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,54.0063488,0.3571429,0.8333333,0.3333333,0.64383,0.4348898,1.0,1.0,0.013343,-
2,route_planner_greedy_local:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,54.0063488,0.3571429,0.8333333,0.3333333,0.64383,0.4348898,1.0,1.0,0.045435,-
3,route_planner:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,54.0063488,0.3571429,0.8333333,0.3333333,0.64383,0.4348898,1.0,1.0,0.036469,-
1,route_planner_greedy:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,55.2199283,0.4166667,0.875,0.3333333,0.6567448,0.2660423,1.0,1.0,0.004602,-
2,route_planner_greedy_local:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,55.2199283,0.4166667,0.875,0.3333333,0.6567448,0.2660423,1.0,1.0,0.035581,-
3,route_planner:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,55.2199283,0.4166667,0.875,0.3333333,0.6567448,0.2660423,1.0,1.0,0.030252,-
1,route_planner_greedy:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,58.6476307,0.5694444,0.875,0.3333333,0.6931839,0.0194317,1.0,1.0,0.002817,-
2,route_planner_greedy_local:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,58.6476307,0.5694444,0.875,0.3333333,0.6931839,0.0194317,1.0,1.0,0.027082,-
3,route_planner:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,58.6476307,0.5694444,0.875,0.3333333,0.6931839,0.0194317,1.0,1.0,0.032889,-
1,route_planner_greedy:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,57.7575627,0.4677419,0.925,0.3333333,0.6567448,0.2660423,1.0,1.0,0.020667,-
2,route_planner_greedy_local:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,57.7575627,0.4677419,0.925,0.3333333,0.6567448,0.2660423,1.0,1.0,0.075844,-
3,route_planner:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,57.7575627,0.4677419,0.925,0.3333333,0.6567448,0.2660423,1.0,1.0,0.083711,-
1,route_planner_greedy:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,68.537889,0.7126437,0.975,0.3333333,0.9313574,0.0,1.0,1.0,0.037085,-
2,route_planner_greedy_local:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,68.537889,0.7126437,0.975,0.3333333,0.9313574,0.0,1.0,1.0,0.093607,-
3,route_planner:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,68.537889,0.7126437,0.975,0.3333333,0.9313574,0.0,1.0,1.0,0.091089,-
1,route_planner_greedy:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,62.7579944,0.639881,0.9,0.3333333,0.8284098,0.0,0.8872029,1.0,0.016631,-
2,route_planner_greedy_local:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,62.7579944,0.639881,0.9,0.3333333,0.8284098,0.0,0.8872029,1.0,0.047627,-
3,route_planner:RoutePlanner,"St. Moritz, Switzerland","St. Moritz, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,62.7579944,0.639881,0.9,0.3333333,0.8284098,0.0,0.8872029,1.0,0.05248,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,71.3595364,0.6666667,0.9583333,0.6666667,0.8124204,0.1464897,1.0,1.0,0.004512,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,71.3595364,0.6666667,0.9583333,0.6666667,0.8124204,0.1464897,1.0,1.0,0.019502,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,73.9493707,0.75,0.9166667,0.6666667,0.9226514,0.0673586,0.8872029,1.0,0.050601,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,73.165573,0.6369048,1.0,1.0,0.8206933,0.0001,0.7125015,1.0,0.001895,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,73.165573,0.6369048,1.0,1.0,0.8206933,0.0001,0.7125015,1.0,0.016946,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,75.2072647,0.8177083,0.9583333,0.6666667,0.8517632,1e-06,0.8872029,1.0,0.02636,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,55.7625696,0.2638889,0.9166667,0.6666667,0.8517632,1e-06,1.0,1.0,0.002083,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,68.845801,0.5238095,0.9583333,1.0,0.838299,4.75e-05,0.7125015,1.0,0.037686,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,80.0,1.0,1.0,0.3333333,1.0,0.0,1.0,1.0,0.047005,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,62.0211186,0.4705882,0.975,0.6666667,0.728368,1e-06,1.0,1.0,0.010892,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,71.2858245,0.7352941,0.975,0.6666667,0.728368,1e-06,1.0,1.0,0.091259,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,74.4493707,0.75,0.95,0.6666667,0.9226514,0.0673586,0.8872029,1.0,0.114739,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,nature_sport,0.4,0.1,0.2,0.3,72.1683425,0.7232143,0.925,0.6666667,0.8653888,1e-06,1.0,1.0,0.013653,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,nature_sport,0.4,0.1,0.2,0.3,75.864241,0.7025862,1.0,1.0,0.8473828,4.75e-05,0.7125015,1.0,0.062458,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,nature_sport,0.4,0.1,0.2,0.3,75.864241,0.7025862,1.0,1.0,0.8473828,4.75e-05,0.7125015,1.0,0.071815,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,67.9250711,0.5911458,0.975,0.6666667,0.8406638,1e-06,1.0,1.0,0.013535,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,74.7610086,0.7864583,0.975,0.6666667,0.8406638,1e-06,1.0,1.0,0.051406,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,74.7610086,0.7864583,0.975,0.6666667,0.8406638,1e-06,1.0,1.0,0.119597,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,57.9442635,0.3333333,0.9583333,0.3333333,0.4601731,1.0,1.0,1.0,0.00218,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,57.9442635,0.3333333,0.9583333,0.3333333,0.4601731,1.0,1.0,1.0,0.029834,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,57.9442635,0.3333333,0.9583333,0.3333333,0.4601731,1.0,1.0,1.0,0.036117,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,66.7161362,0.4791667,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.002803,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,66.7161362,0.4791667,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.025327,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,66.7161362,0.4791667,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.043172,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,68.9036362,0.5416667,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.00224,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,68.9036362,0.5416667,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.024302,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,68.9036362,0.5416667,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.025939,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,77.3310389,0.7647059,0.975,0.6666667,0.4919217,1.0,0.7125015,1.0,0.013087,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,77.3310389,0.7647059,0.975,0.6666667,0.4919217,1.0,0.7125015,1.0,0.050058,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,77.3310389,0.7647059,0.975,0.6666667,0.4919217,1.0,0.7125015,1.0,0.074617,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,nature_sport,0.4,0.1,0.2,0.3,71.068784,0.5857843,0.975,0.6666667,0.4919217,1.0,0.7125015,1.0,0.014745,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,nature_sport,0.4,0.1,0.2,0.3,71.068784,0.5857843,0.975,0.6666667,0.4919217,1.0,0.7125015,1.0,0.062475,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,nature_sport,0.4,0.1,0.2,0.3,71.068784,0.5857843,0.975,0.6666667,0.4919217,1.0,0.7125015,1.0,0.055015,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,57.2590284,0.2303922,0.95,0.3333333,0.6630202,1.0,1.0,1.0,0.01075,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,57.2590284,0.2303922,0.95,0.3333333,0.6630202,1.0,1.0,1.0,0.039949,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,57.2590284,0.2303922,0.95,0.3333333,0.6630202,1.0,1.0,1.0,0.051109,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,61.0551671,0.2631579,1.0,0.6666667,0.6030026,0.7799601,1.0,1.0,0.001999,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,61.0551671,0.2631579,1.0,0.6666667,0.6030026,0.7799601,1.0,1.0,0.011685,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,61.0551671,0.2631579,1.0,0.6666667,0.6030026,0.7799601,1.0,1.0,0.046524,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,76.8206766,0.5109649,1.0,1.0,0.6916265,1.0,0.7125015,1.0,0.002321,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,nature_sport,0.4,0.1,0.2,0.3,76.8206766,0.5109649,1.0,1.0,0.6916265,1.0,0.7125015,1.0,0.016296,-
